Game,Home,Away,Date,Time,Stadium
067,Avenida / RS,Ferroviária / SP,12/05/2019,16:00,Eucaliptos / Santa Cruz do Sul
068,Joinville / SC,Maringá / PR,11/05/2019,18:00,Arena Joinville / Joinville
069,Rio Branco / AC,São Raimundo / RR,18/05/2019,19:00,Arena da Floresta / Rio Branco
070,Barcelona / RO,Fast Clube / AM,18/05/2019,18:00,Arnaldo Lopes Martins / Vilhena
071,Manaus / AM,Real Desportivo / RO,18/05/2019,18:00,Ismael Benigno / Manaus
072,Santos / AP,Galvez / AC,18/05/2019,16:00,Milton de Souza Correia / Macapa
073,Moto Club / MA,Ypiranga / AP,19/05/2019,17:00,Governador João Castelo / Sao Luis
074,Atlético / RR,São Raimundo / PA,18/05/2019,17:00,Raimundo Ribeiro de Souza / Boa Vista
075,Bragantino / PA,Floresta / CE,19/05/2019,15:00,São Benedito / Braganca
076,Ríver / PI,Santa Cruz / RN,19/05/2019,16:00,Governador Alberto Silva / Teresina
077,Central / PE,Altos / PI,19/05/2019,16:00,Luíz José de Lacerda / Caruaru
078,Atlético / CE,Maranhão / MA,18/05/2019,16:00,Presidente Vargas / Fortaleza
079,América / RN,Bahia de Feira / BA,18/05/2019,17:00,Arena das Dunas / Natal
080,Serrano / PB,América / PE,19/05/2019,16:00,Ernani Sátyro / Campina Grande
081,ASA / AL,Campinense / PB,18/05/2019,16:00,Coaracy da Mata Fonseca / Arapiraca
082,Jacuipense / BA,Vitória / PE,19/05/2019,16:00,Eliel Martins / Riachao do Jacuipe
083,Salgueiro / PE,Sergipe / SE,18/05/2019,20:00,Cornélio de Barros Muniz / Salgueiro
084,Fluminense de Feira / BA,Coruripe / AL,19/05/2019,16:00,Alberto Oliveira / Feira de Santana
085,Aparecidense / GO,Juazeirense / BA,18/05/2019,17:00,Anibal Batista de Toledo / Aparecida de Goiania
086,Itabaiana / SE,Interporto / TO,20/05/2019,20:15,Etelvino Mendonça / Itabaiana
087,Palmas / TO,Sinop / MT,18/05/2019,19:00,Nilton Santos / Palmas
088,Corumbaense / MS,Ipora / GO,18/05/2019,19:00,Arthur Marinho / Corumba
089,Anapolina / GO,Operário / MS,18/05/2019,18:00,Jonas Ferreira Duarte / Anapolis
090,União de Rondonópolis / MT,Atlético Patrocinense / MG,20/05/2019,21:10,Luthero Lopes / Rondonopolis
091,Sobradinho / DF,Portuguesa / RJ,18/05/2019,16:00,Augustinho Pires de Lima / Sobradinho
092,Vitória / ES,Caldense / MG,19/05/2019,15:00,Kleber José de Andrade / Cariacica
093,URT / MG,Serra / ES,20/05/2019,19:00,Zama Maciel / Patos de Minas
094,Ituano / SP,Brasiliense / DF,18/05/2019,16:00,Novelli Junior / Itu
095,Tupi / MG,Novorizontino / SP,18/05/2019,16:00,Mario Helênio / Juiz de Fora
096,Hercilio Luz / SC,Itaborai / RJ,19/05/2019,16:00,Aníbal Torres Costa / Tubarao
